,,,,,,,,,,
,Slideshow,Slide 1 (Hook),Slide 2 (Trust me...),Slide 3,Slide 4,Slide 5 (+ Kokoro),Slide 6,Slide 7,Description,Song
,1. Burnout symptom,The burnout symptom nobody warned me about,"Trust me, I know.",You stop replying to people you genuinely care about.,"Even ""relaxing"" feels like another task on your to-do list.",The first habit that actually helped was checking in with my emotions every evening. (I use the Kokoro app.),"Slowly, the things you once loved stop feeling exciting.",Burnout whispers long before it screams.,Some things I wish someone had told me sooner 🤍 I use the Kokoro app to help me slow down and check in with myself every day. #burnout #mentalhealth #meditation #wellness,EX7STENCE
,2. Before burnout,I wish someone had told me this before I burned out,"Trust me, I know.",Being busy isn't the same as being okay.,Rest isn't something you earn. Your brain needs it to function.,A 2-minute emotional check-in became part of my routine. (I use the Kokoro app.),Stress doesn't disappear just because you ignore it.,Don't wait until your body forces you to slow down.,Healing starts with understanding what you're feeling 🤍 I use the Kokoro app to help me become more aware of my emotions. #burnout #mentalhealth #mindfulness #healing,Phantom – ESD
,3. Vacation,I thought I needed a vacation... but I was wrong,"Trust me, I know.",The trip helped... for about a week.,Then the same thoughts came right back.,What actually changed things was understanding how I felt each day. (I use the Kokoro app.),I wasn't just tired—I was emotionally exhausted.,You can't escape stress if your mind comes with you.,You're not lazy. You might just be emotionally exhausted 🤍 I use the Kokoro app to help me understand how I'm really feeling. #burnout #stress #mentalhealth #wellness,Lost the Spark
,4. Burnout mistakes,5 mistakes that quietly lead to burnout,"Trust me, I know.","1. Pretending you're ""fine"" because it's easier.",2. Waiting until you're completely drained before resting.,3. Never checking in with yourself. (I use the Kokoro app.),4. Believing rest has to be earned.,5. Ignoring the little warning signs until they become impossible to ignore.,Burnout doesn't happen overnight. Neither does healing 🤍 I use the Kokoro app to help me build small habits that actually stick. #burnout #selfcare #mentalhealth #mindfulness,Agreement Song
,5. Meditation,I thought meditation would never work for me,"Trust me, I know.",You don't have to stop your thoughts. Nobody can.,The goal is to notice them—not chase them.,I kept showing up for just two minutes a day. (I use the Kokoro app.),Tiny sessions you actually do beat perfect sessions you never start.,Your mind doesn't need perfection. It needs practice.,Meditation isn't about having no thoughts 🤍 I use the Kokoro app to help me stay consistent with meditation. #meditation #mindfulness #mentalhealth #focus,Cool for the Summer (Slowed)
,6. Always tired,The real reason I was always tired,"Trust me, I know.",My body wasn't exhausted. My mind was.,Every day ended with the same stress I woke up with.,Spending two minutes reflecting changed more than another hour of sleep. (I use the Kokoro app.),Mental exhaustion can feel exactly like physical exhaustion.,Sometimes the problem isn't your sleep. It's your stress.,Being tired isn't always about sleep 🤍 I use the Kokoro app to help me unwind mentally every evening. #burnout #stress #wellness #mentalhealth,Dracula (JENNIE Remix)
,7. Emotional exhaustion,5 signs you're emotionally exhausted,"Trust me, I know.",1. Small tasks suddenly feel overwhelming.,"2. ""How are you?"" becomes a difficult question to answer.",3. You stop checking in with yourself. (I use the Kokoro app.),4. Nothing feels exciting anymore.,5. You're surviving instead of living.,Emotional exhaustion looks different than most people think 🤍 I use the Kokoro app to help me recognize it before it gets worse. #burnout #mentalhealth #healing #wellness,Babydoll – Ari Abdul
,8. Depression recovery,How I slowly became myself again after depression,"Trust me, I know.",I stopped trying to fix my life overnight.,Small habits mattered more than motivation ever did.,Looking at my emotions every day helped me stay consistent. (I use the Kokoro app.),Progress looked invisible until I looked back.,Healing isn't linear—and it doesn't have to be.,"Healing is rarely linear, and that's okay 🤍 I use the Kokoro app to help me stay consistent, even on hard days. #healing #mentalhealth #mindfulness #wellness",Daisies – Justin Bieber
,9. Recovery rating,Rating everything that helped me recover from burnout,"Trust me, I know.",Walking every day → 8/10. Simpler than I expected.,"Sleeping more → 6/10. Helpful, but never enough on its own.",Daily emotional check-ins → 10/10. (I use the Kokoro app.),Meditation → 9/10. It got easier the longer I stayed consistent.,There was no magic fix. Just small habits that finally added up.,Small habits changed more than I expected 🤍 I use the Kokoro app to help me reflect for a few minutes every day. #mentalhealth #meditation #wellness #selfcare,Chanel (Slowed)
,10. Biggest lie,The biggest lie burnout made me believe,"Trust me, I know.","""I just need to push a little harder.""","The harder I pushed, the worse I felt.",Everything changed once I actually started listening to myself. (I use the Kokoro app.),Ignoring stress doesn't make you stronger.,The strongest people know when it's time to slow down.,Burnout lies to you more than you realize 🤍 I use the Kokoro app to help me reconnect with myself. #burnout #mentalhealth #mindfulness #stress,Self Aware
